Cluster,Observations,MAE Lag-1,MAE Huber,RMSE Lag-1,RMSE Huber,MAE improvement,RMSE improvement
0,216,80.91203703703704,74.78832866387755,113.24267207099,106.36553771352389,6.123708373159488,6.877134357466105
1,108,68.93518518518519,66.91939946407444,111.2320314244724,109.34512283853549,2.0157857211107455,1.886908585936908
2,78,293.20512820512823,277.08080716453316,447.37247144312335,423.0342568231811,16.124321040595078,24.33821461994222
