Model,MAE,RMSE,ΔMAE vs Lag-1,ΔRMSE vs Lag-1,Notes
Huber,111.92506739390839,209.79587705148455,-5.854793496084751,-5.270246399150287,Robust to large residuals
Lasso,114.13980165522383,210.98157504958354,-3.991880931118213,-4.734864671046194,Regularised linear model
Linear,115.16674553662087,211.37427901483102,-3.1280722595380186,-4.557545886765028,Lag + cluster features
Lag-1 baseline,118.88557213930348,221.4677744602544,0.0,0.0,Persistence baseline
Lag-2 baseline,135.9278606965174,249.10635803194646,14.335035152326743,12.479731481950758,Same-season baseline
